OBJECTID,ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC
230,"0230-3N",6671097-1,CARLOS IRIBARREN,LUZ ELENA,FLORENCIA 1,EMBALSE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967931.8748,366481.8938,WGS84,19S,-27.40544884994,-70.3505476488199,ABANDONADO,,5200,,7800,,,,,
231,"0231-3N",6671097-1,CARLOS IRIBARREN,LUZ ELENA,FLORENCIA 2,EMBALSE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967916.3094,366385.6116,WGS84,19S,-27.4055799027869,-70.3515230417405,ABANDONADO,,2800,,4200,,,,,
234,"0234-3N",sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969132.6379,370243.147,WGS84,19S,-27.394974320893,-70.3123824167464,INACTIVO,,67200,,100800,,,,,
235,"0235-3N",sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 2A,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969062.3093,370194.613,WGS84,19S,-27.3956044677313,-70.3128806926648,INACTIVO,EJE CENTRAL,48000,,72000,,573,1986/06/02,,
236,"0236-3N",sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 2B,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968983.1624,370130.3259,WGS84,19S,-27.3963127038261,-70.3135392124893,INACTIVO,EJE CENTRAL,245160,,367740,,573,1986/06/02,,
252,"0252-3N",sin rut conocido,LUIS PADILLA,PLANTA CASERON,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967336.9268,337567.5182,WGS84,19S,-27.4076796173698,-70.6430097756369,ABANDONADO,,7354,,8824,,,,,
253,"0253-3N",sin rut conocido,DESCONOCIDO,PLANTA LA CHIMBA,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6973483.1271,366087.4656,WGS84,19S,-27.3553069272613,-70.3539262184594,ABANDONADO,AGUAS ARRIBA,8000,,10500,,,,,
255,"0255-3N",10126740-7,GONZALO ASTORGA SAA,AURICOP,RELAVE 1,EMBALSE,ORO-COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967851.7334,366247.5559,WGS84,19S,-27.4061491981435,-70.3529262728301,INACTIVO,,20782,,31902,,,,,
257,"0257-3N",sin rut conocido,CIA. MINERA SAN PATRICIO,SAN PATRICIO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969438.9704,367221.4366,WGS84,19S,-27.3919186526301,-70.342904361336,ABANDONADO,,27300,,40950,,,,,
261,"0261-3N",sin rut conocido,VICTOR LEIVA AGUIRRE,PLANTA VICTORIA,VICTORIA,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6971480.5554,368067.1146,WGS84,19S,-27.3735740918569,-70.3341320488817,ABANDONADO,,,,,,,,,
262,"0262-3N",88320200-7,SOCIEDAD MINERA PAPAPIETRO LTDA.,PLANTA PAPAPIETRO,DEPOSITO DE RELAVES PAPAPIETRO SECTOR VIÑITA BLANCA,EMBALSE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966521.1853,372072.3841,WGS84,19S,-27.4187174730737,-70.2941596664837,ABANDONADO,AGUAS ABAJO,24300,,40800,,968,2022/09/20,,
263,"0263-3N",88320200-7,SOCIEDAD MINERA PAPAPIETRO LTDA.,PAPAPIETRO,PAPAPIETRO,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6970650.7671,368736.6128,WGS84,19S,-27.3811280344225,-70.3274528178917,ABANDONADO,,,,,,,,,
670,"0670-3N",9466348-2,SOTRATEC-MINART LTDA.,PLANTA EL CATEADOR,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967540.0651,366014.0581,WGS84,19S,-27.4089392410082,-70.3553219294226,INACTIVO,AGUAS ABAJO,35120,,52680,,525,1998/05/20,,
807,"0807-3N",76353771-4,MINE TRADE SPA,PLANTA PUERTO RICO,EMBALSE 3,EMBALSE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969736.2731,367480.087,WGS84,19S,-27.3892604672689,-70.3402566295801,INACTIVO,EXCAVACION TERRENO,,,,,,,,
808,"0808-3N",76353771-4,MINE TRADE SPA,PLANTA PUERTO RICO,EMBALSE 5,EMBALSE,COBRE,METÁLICO,0,"03","031","03101",Atacama,Copiapó,Copiapó,6969889.6146,367370.6755,WGS84,19S,-27.3878658336479,-70.34134622951,INACTIVO,EXCAVACION TERRENO,,,,,,,,
812,"0812-3N",10126740-7,GONZALO ASTORGA SAA,AURICOP,RELAVE 2,EMBALSE,ORO-COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967821.5161,366129.5252,WGS84,19S,-27.4064103397095,-70.3541232260285,INACTIVO,,,,,,,,,
